Time,Time Code,Country Name,Country Code,Ease of doing business rank (1=most business-friendly regulations) [IC.BUS.EASE.XQ],GDP per capita (current US$) [NY.GDP.PCAP.CD],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]
2019,YR2019,Europe & Central Asia,ECS,..,24870.2619868165,19.2538884480981
2019,YR2019,Africa Eastern and Southern,AFE,..,1500.22927438203,18.5887838844521
2019,YR2019,Africa Western and Central,AFW,..,1749.30331701118,..
2019,YR2019,Arab World,ARB,..,6384.39049221952,..
2019,YR2019,Caribbean small states,CSS,..,10429.3320396051,..
2019,YR2019,Central Europe and the Baltics,CEB,..,16358.4741498916,17.7195797596308
2019,YR2019,Early-demographic dividend,EAR,..,3489.13106081302,..
2019,YR2019,East Asia & Pacific,EAS,..,11482.5316836638,11.1963673387793
2019,YR2019,East Asia & Pacific (excluding high income),EAP,..,8169.16783730136,9.04289638310811
2019,YR2019,East Asia & Pacific (IDA & IBRD countries),TEA,..,8259.79560508293,9.04319170164469
2019,YR2019,Euro area,EMU,..,39182.5483400922,19.2111873585909
2019,YR2019,Europe & Central Asia (excluding high income),ECA,..,8129.88601672878,13.5261400073093
2019,YR2019,Europe & Central Asia (IDA & IBRD countries),TEC,..,9019.71737353636,14.1475164646789
2019,YR2019,European Union,EUU,..,35079.4691496775,19.7455964684011
2019,YR2019,Fragile and conflict affected situations,FCS,..,1874.0720163942,..
2019,YR2019,Heavily indebted poor countries (HIPC),HPC,..,978.793970236792,..
2019,YR2019,High income,HIC,..,44723.9289448888,15.2686488807746
2019,YR2019,IBRD only,IBD,..,6435.95331924092,11.2087118195543
2019,YR2019,IDA & IBRD total,IBT,..,5124.48713009159,11.2246839680643
2019,YR2019,IDA blend,IDB,..,1827.16847357077,..
2019,YR2019,IDA only,IDX,..,1149.25488998603,..
2019,YR2019,IDA total,IDA,..,1376.90879837575,..
2019,YR2019,Late-demographic dividend,LTE,..,9979.25411184343,10.4578571320298
2019,YR2019,Latin America & Caribbean,LCN,..,8707.18736820255,13.5767681405394
2019,YR2019,Latin America & Caribbean (excluding high income),LAC,..,8181.62274744186,13.3371476466254
2019,YR2019,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,8526.26578328322,13.5703566891427
2019,YR2019,Least developed countries: UN classification,LDC,..,1090.00328554806,..
2019,YR2019,Low & middle income,LMY,..,4950.73417860259,10.950261019647
2019,YR2019,Low income,LIC,..,704.491273951095,..
2019,YR2019,Lower middle income,LMC,..,2386.48858914775,..
2019,YR2019,Middle East & North Africa,MEA,..,7338.01401576618,..
2019,YR2019,Middle East & North Africa (excluding high income),MNA,..,3439.30433515147,..
2019,YR2019,Middle East & North Africa (IDA & IBRD countries),TMN,..,3436.759720384,..
2019,YR2019,Middle income,MIC,..,5448.65078025163,10.9367786020052
2019,YR2019,North America,NAC,..,63198.7013177896,10.2604914263006
2019,YR2019,Not classified,INX,..,..,..
2019,YR2019,OECD members,OED,..,39531.6603463651,15.4872656278262
2019,YR2019,Other small states,OSS,..,13540.4002873269,..
2019,YR2019,Pacific island small states,PSS,..,4233.4136752437,22.3678593231552
2019,YR2019,Post-demographic dividend,PST,..,45700.938132739,15.4460555376847
2019,YR2019,Pre-demographic dividend,PRE,..,1455.60148016876,..
2019,YR2019,Small states,SST,..,12427.5767384523,..
2019,YR2019,South Asia,SAS,..,1962.80287524759,..
2019,YR2019,South Asia (IDA & IBRD),TSA,..,1962.80287524759,..
2019,YR2019,Sub-Saharan Africa,SSF,..,1601.1217636118,..
2019,YR2019,Sub-Saharan Africa (excluding high income),SSA,..,1599.75918622443,..
2019,YR2019,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,1601.1217636118,..
2019,YR2019,Upper middle income,UMC,..,9534.00511269487,10.8059140961121
2019,YR2019,World,WLD,..,11319.7541087933,13.7989771038843
,,,,,,
,,,,,,
,,,,,,
Data from database: World Development Indicators,,,,,,
Last Updated: 12/22/2022,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,License URL
